LIMS	// User ID
11-12-2017	// Evaluation date
P030__5__[321-19-9-43]	17-11-2017	19:09:38:339	// Source file name and timestamp
2000.000	// Sampling rate
4.872	// Data capture period

Sample #	Left_FP	Right_FP	Left_X	Left_Y	Right_X	Right_Y	Global_X	Global_Y	JumpHeight	
66	298.259049	245.800424	-170.060202	282.685336	179.509750	275.243214	-12.128126	279.323062	0.000000	
67	298.278340	245.811862	-170.014464	282.683514	179.585345	275.297657	-12.070469	279.346694	0.000000	
68	298.303372	245.822259	-169.962455	282.681382	179.651116	275.341391	-12.015847	279.365359	0.000000	
69	298.333411	245.833556	-169.906610	282.680776	179.705793	275.376921	-11.965269	279.381177	0.000000	
70	298.366673	245.849727	-169.850576	282.682852	179.749114	275.404735	-11.918936	279.394963	0.000000	
71	298.401655	245.875007	-169.798118	282.688486	179.781826	275.424995	-11.876647	279.407230	0.000000	
72	298.437041	245.912138	-169.752111	282.698314	179.805449	275.439217	-11.837945	279.418985	0.000000	
73	298.471903	245.961929	-169.714411	282.713482	179.822226	275.450814	-11.802282	279.432386	0.000000	
74	298.507075	246.023557	-169.686133	282.736038	179.835127	275.465018	-11.769464	279.450930	0.000000	
75	298.545749	246.095606	-169.667850	282.768134	179.847630	275.488163	-11.739659	279.478687	0.000000	
76	298.591880	246.177086	-169.659785	282.810122	179.862954	275.525927	-11.713032	279.518448	0.000000	
77	298.648057	246.266772	-169.661625	282.858989	179.882650	275.580795	-11.689892	279.569709	0.000000	
78	298.715025	246.362258	-169.672153	282.909538	179.905792	275.650694	-11.671050	279.628710	0.000000	
79	298.792263	246.460620	-169.689541	282.957407	179.929810	275.730340	-11.657544	279.690689	0.000000	
80	298.878203	246.559326	-169.711928	283.000935	179.952008	275.813805	-11.650006	279.752068	0.000000	
81	298.970111	246.656612	-169.737564	283.041052	179.970683	275.896439	-11.648072	279.811250	0.000000	
82	299.064176	246.751613	-169.764882	283.079682	179.985511	275.975426	-11.650230	279.868001	0.000000	
83	299.156424	246.843976	-169.792887	283.118043	179.997026	276.048744	-11.654665	279.922049	0.000000	
84	299.244186	246.933786	-169.821175	283.156336	180.005772	276.113911	-11.660105	279.972369	0.000000	
85	299.326775	247.021792	-169.849213	283.194502	180.011952	276.168671	-11.665707	280.017898	0.000000	
86	299.404821	247.108549	-169.875932	283.233074	180.015690	276.212654	-11.670816	280.058758	0.000000	
87	299.479385	247.192994	-169.900348	283.273349	180.017486	276.247433	-11.675348	280.096387	0.000000	
88	299.551385	247.272335	-169.922111	283.316464	180.018234	276.274931	-11.679952	280.132300	0.000000	
89	299.621022	247.343261	-169.941361	283.362913	180.018818	276.296297	-11.685521	280.167311	0.000000	
90	299.687747	247.402848	-169.958723	283.413018	180.019810	276.312612	-11.693005	280.202104	0.000000	
91	299.750759	247.448646	-169.975434	283.466489	180.021400	276.325791	-11.703619	280.237399	0.000000	
92	299.809509	247.478520	-169.992777	283.521497	180.023412	276.337567	-11.718735	280.272991	0.000000	
93	299.864205	247.490518	-170.011270	283.575051	180.025294	276.348484	-11.739628	280.307505	0.000000	
94	299.915787	247.483031	-170.030678	283.624209	180.026283	276.358765	-11.767352	280.339448	0.000000	
95	299.965652	247.455548	-170.050795	283.666571	180.025965	276.368689	-11.802564	280.367646	0.000000	
96	300.015981	247.409471	-170.071837	283.699917	180.024563	276.377328	-11.845425	280.390466	0.000000	
97	300.069812	247.348207	-170.094201	283.722073	180.022370	276.382492	-11.895707	280.405719	0.000000	
98	300.130591	247.275961	-170.118597	283.731198	180.019347	276.382366	-11.953343	280.411564	0.000000	
99	300.201728	247.195753	-170.146452	283.726109	180.015550	276.376246	-12.019017	280.407031	0.000000	
100	300.285864	247.109047	-170.179666	283.706848	180.011304	276.363901	-12.093876	280.392041	0.000000	
101	300.384100	247.017558	-170.219917	283.674860	180.006698	276.345209	-12.178519	280.367321	0.000000	
102	300.495704	246.923946	-170.267815	283.631892	180.001408	276.320774	-12.272283	280.334074	0.000000	
103	300.618016	246.830333	-170.322419	283.579175	179.995220	276.292320	-12.373236	280.293720	0.000000	
104	300.746537	246.737621	-170.381837	283.518220	179.988285	276.262429	-12.478656	280.248214	0.000000	
105	300.875778	246.646719	-170.444298	283.451468	179.981068	276.234816	-12.585457	280.200526	0.000000	
106	301.000639	246.559763	-170.508361	283.381642	179.974885	276.214661	-12.690035	280.154438	0.000000	
107	301.117224	246.479999	-170.572297	283.311080	179.972059	276.206946	-12.788129	280.113425	0.000000	
108	301.222864	246.410042	-170.634142	283.241690	179.974361	276.213461	-12.876172	280.079305	0.000000	
109	301.316191	246.349817	-170.692704	283.174877	179.981788	276.232092	-12.953141	280.051890	0.000000	
110	301.397877	246.296319	-170.747993	283.111033	179.993517	276.259137	-13.020664	280.029758	0.000000	
111	301.470894	246.245177	-170.800385	283.049393	180.009053	276.291499	-13.081565	280.011142	0.000000	
